stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1045,"GIERES, LE JAPIN",45.18782,5.80781,,GENLEJAPIN,1
1046,"SAINT-MARTIN-D'HERES, LES ALLOVES",45.17204,5.76518,,GENALLOVES,1
1047,"ECHIROLLES, MONMOUSSEAU",45.15327,5.7115,,GENMONMOUSS,1
1048,"LE PONT-DE-CLAIX, GRAND GALET",45.13682,5.70834,,GENGRDGALET,1
1049,"GRENOBLE, GUSTAVE RIVET",45.1812,5.72806,,GENGUSTRIVE,1
1050,"GRENOBLE, MASSENET",45.16799,5.72124,,GENMASSENET,1
1051,"ECHIROLLES, MONMOUSSEAU",45.15355,5.71188,,GENMONMOUSS,1
1053,"VARCES-ALLIERES-ET-RISSET, LE GROS CHENE",45.07834,5.70205,,GENGROSCHEN,0
1056,"VARCES-ALLIERES-ET-RISSET, LE GROS CHENE",45.07832,5.7021,,GENGROSCHEN,0
1057,"VIF, LE REFUGE",45.07466,5.69955,,GENLEREFUGE,0
1058,"VIF, LE REFUGE",45.07462,5.69959,,GENLEREFUGE,0
1059,"VIF, RUE DE LA SACRISTIE",45.07061,5.69518,,GENSACRISTI,0
1060,"SAINT-MARTIN-D'HERES, ZELLA MELHIS",45.16707,5.75354,,GENZELLAMEL,1
1061,"EYBENS, LES ECOLES",45.16143,5.74306,,GENLESECOLE,1
1062,"VIF, RUE DE LA SACRISTIE",45.07081,5.69538,,GENSACRISTI,0
1063,"VIF, ECOLE REYMURE",45.06914,5.69332,,GENECOLEREY,0
1064,"VIF, ECOLE REYMURE",45.06908,5.69334,,GENECOLEREY,0
1065,"VIF, LA PLAINE",45.06663,5.69198,,GENLAPLAINE,0
1067,"GRENOBLE, BON PASTEUR",45.17859,5.7499,,GENBONPASTE,1
1070,"GRENOBLE, MUTUALITE",45.19046,5.73663,,GENMUTUALIT,1
1071,"MEYLAN, GRANIER",45.21027,5.78454,,GENGRANIER,1
1073,"VIF, LA PLAINE",45.06686,5.69213,,GENLAPLAINE,0
1074,"SAINT-MARTIN-D'HERES, HOUILLE BLANCHE",45.17794,5.7517,,GENHOUILLEB,1
1076,"SAINT-EGREVE, EGLISE",45.24016,5.68385,,GENEGLISE,1
1080,"DOMENE, RENE CASSIN",45.2045,5.84416,,GENRENECASS,1
1081,"DOMENE, RENE CASSIN",45.20424,5.84373,,GENRENECASS,1
1083,"VIF, JACOBINS",45.06444,5.69131,,GENJACOBINS,0
1085,"VIF, JACOBINS",45.06461,5.69128,,GENJACOBINS,0
1086,"ECHIROLLES, ANTOINE POLOTTI",45.14861,5.72251,,GENPOLOTTI,1
1087,"ECHIROLLES, FERNAND PELLOUTIER",45.15075,5.71561,,GENPELLOUTI,1
1088,"ECHIROLLES, MUSEE GEO CHARLES",45.14879,5.70172,,GENMUSGEOCH,1
1089,"VIF, LE PETIT BRION",45.06228,5.69011,,GENPETIBRIO,0
1090,"EYBENS, CHAMP FILA",45.15627,5.75497,,GENCHAMPFIL,1
1091,"EYBENS, LES RUIRES-BOETIE",45.14932,5.74122,,GENRUIRES,1
1092,"EYBENS, ODYSSEE",45.15247,5.74848,,GENODYSSEE,1
1093,"EYBENS, CHAMP FILA",45.15627,5.75505,,GENCHAMPFIL,1
1094,"POISAT, CENTRE SOCIO-CULTUREL",45.15941,5.76012,,GENCENSOCIO,1
1095,"ECHIROLLES, FERNAND PELLOUTIER",45.15084,5.71482,,GENPELLOUTI,1
1097,"BRESSON, MAIRIE",45.13775,5.74816,,GENBRESSON,1
1100,"VIF, LE PETIT BRION",45.06225,5.69018,,GENPETIBRIO,0
1101,"VIF, MAS GARNI",45.06056,5.68779,,GENMASGARNI,0
1106,"VEUREY-VOROIZE, LES MARRONNIERS",45.27636,5.61105,,GENMARRONNI,0
1107,"VEUREY-VOROIZE, LES MARRONNIERS",45.27594,5.61,,GENMARRONNI,0
1109,"FONTAINE, LA SURE",45.20281,5.68574,,GENLASURE,0
1110,"SEYSSINET-PARISET, LES ILES",45.1841,5.69716,,GENLESILES,1
1111,"SEYSSINET-PARISET, LES ILES",45.18417,5.69713,,GENLESILES,1
1112,"MEYLAN, LES BEALIERES",45.21146,5.79145,,GENBEALIERE,1
1113,"MEYLAN, LYCEE DU GRESIVAUDAN",45.21334,5.78103,,GENLYCGRESI,1
1114,"VIF, MAS GARNI",45.06078,5.68819,,GENMASGARNI,0
1118,"SAINT-MARTIN-D'HERES, LE CARINA",45.16238,5.76305,,GENCARINA,1
1119,"SAINT-MARTIN-D'HERES, LE CARINA",45.16235,5.76287,,GENCARINA,1
1120,"GRENOBLE, ABBE GREGOIRE",45.18388,5.71174,,GENABBEGREG,1
1121,"SASSENAGE, CHAMECHAUDE",45.20511,5.68348,,GENCHAMECHA,0
1122,"FONTAINE, CHAMECHAUDE",45.20504,5.6835,,GENCHAMECHA,0
1124,"CLAIX, LA CHIEZE",45.12151,5.68143,,GENCHIEZE,1
1125,"CLAIX, LA RONZY",45.12083,5.67593,,GENRONZY,1
1126,"FONTAINE, LA SURE",45.20279,5.68586,,GENLASURE,0
1127,"VIF, ALLEE DES GRANGES",45.05788,5.68479,,GENALEGRANG,0
1128,"FONTAINE, SAINT-EYNARD",45.20113,5.69021,,GENSTEYNARD,1
1129,"FONTAINE, SAINT-EYNARD",45.2014,5.68991,,GENSTEYNARD,1
1130,"VIF, ALLEE DES GRANGES",45.05795,5.68472,,GENALEGRANG,0
1131,"VIF, Z.A. DES SPEYRES",45.05691,5.68171,,GENZASPEYRE,0
1133,"VIF, Z.A. DES SPEYRES",45.0569,5.68184,,GENZASPEYRE,0
1134,"LA TRONCHE, VERCORS",45.20065,5.75103,,GENVERCORS,1
1138,"GRENOBLE, MARCEAU JARDIN DES VALLONS",45.18245,5.72217,,GENMARCEAU,1
1139,"GRENOBLE, MARCEAU JARDIN DES VALLONS",45.18263,5.72195,,GENMARCEAU,1
1140,"VIF, RUE DE L'ESPERE",45.05486,5.67766,,GENRUEESPER,0
1141,"VIF, RUE DE L'ESPERE",45.05481,5.67762,,GENRUEESPER,0
1142,"VIF, RUE DU NORD",45.0543,5.6752,,GENRUENORD,0
1143,"VIF, RUE DU NORD",45.05433,5.67537,,GENRUENORD,0
1145,"GRENOBLE, VEYRET",45.19479,5.7248,,GENVEYRET,0
1149,"SEYSSINET-PARISET, CENTRE-VILLAGE",45.17052,5.68071,,GENCENTRVIL,0
1152,"GRENOBLE, CHORIER - CONDORCET",45.18593,5.71744,,GENCHORCOND,1
1153,"GRENOBLE, CHORIER - CONDORCET",45.18588,5.71725,,GENCHORCOND,1
1160,"DOMENE, LES VERNES",45.20736,5.83392,,GENVERNES,1
1161,"DOMENE, LES VERNES",45.20713,5.83398,,GENVERNES,1
1165,"POISAT, CENTRE SOCIO-CULTUREL",45.15899,5.75955,,GENCENSOCIO,1
1166,"ECHIROLLES, LE VILLAGE",45.14133,5.72057,,GENVILLAGE,1
1167,"CORENC, MONTFLEURY",45.21186,5.75637,,GENMONTFLEU,1
1168,"EYBENS, LES SAULES",45.16296,5.7411,,GENSAULES,0
1169,"EYBENS, LES SAULES",45.16292,5.74115,,GENSAULES,0
1170,"CORENC, CROIX DE MONTFLEURY",45.20879,5.74934,,GENCXMONTFL,1
1173,"MEYLAN, MALACHER",45.21122,5.78722,,GENMALACHER,1
1177,"SAINT-EGREVE, PONT DE VENCE",45.23013,5.68332,,GENPTVENCE,1
